country,city,district,min_booking_duration,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,first_pic_category,was_published,clicks_count
1,968,940,3,0,0,0.0,,,,,,,0,0
1,63,72,1,0,0,0.0,,,,,,,0,0
1,155,491,3,3,3,4000.0,98.0,2890.0,4,35,150.0,LIVING_ROOM,1,98
1,1561,1401,1,1,1,890.0,24.0,890.0,1,9,85.0,LIVING_DINING_ROOM,1,72
1,155,599,12,2,2,2400.0,100.0,2600.0,3,25,150.0,DINING_ROOM,1,2
1,595,610,3,0,0,0.0,,,,,,,0,0
1,155,916,1,2,3,1800.0,105.0,1800.0,3,12,80.0,ROOM_BEDROOM,1,43
1,1356,1250,3,1,1,1000.0,10.0,620.0,1,7,0.0,ROOM_BEDROOM,1,151
1,155,916,7,2,1,2000.0,45.0,1480.0,2,24,75.0,LIVING_DINING_ROOM,1,753
1,155,530,1,0,0,0.0,,,,,,,0,0
1,155,1190,6,2,2,3900.0,75.0,1950.0,4,22,200.0,BATHROOM,1,263
1,1561,1401,1,1,1,850.0,36.0,800.0,1,15,100.0,LIVING_ROOM,1,229
1,433,459,4,4,4,3000.0,97.0,1500.0,4,9,200.0,LIVING_DINING_ROOM,1,4
0,742,,3,2,3,3000.0,70.0,1500.0,4,10,150.0,LIVING_DINING_ROOM,0,0
0,1530,,1,2,3,1500.0,73.0,2450.0,4,16,370.0,LIVING_DINING_ROOM,1,0
1,771,782,3,0,0,0.0,,,,,,,0,0
1,450,469,1,1,1,9000.0,26.0,650.0,1,9,50.0,UNCATEGORIZED,0,0
1,964,935,1,0,0,0.0,,,,,,,0,0
1,1558,244,1,0,0,0.0,,,,,,,0,0
1,155,916,1,0,0,0.0,,,,,,,0,0
1,155,916,1,0,0,0.0,,,,,,,0,0
1,223,1175,1,2,3,500.0,70.0,1000.0,2,8,25.0,LIVING_DINING_ROOM,1,37
1,771,782,3,1,1,1600.0,60.0,1000.0,3,18,100.0,UNCATEGORIZED,0,0
1,215,239,1,1,1,500.0,50.0,1800.0,2,22,60.0,UNCATEGORIZED,1,11
1,416,435,1,0,0,0.0,,,,,,,0,0
1,629,646,1,0,0,0.0,,,,,,,0,0
1,1561,1401,1,7,3,3000.0,75.0,2250.0,6,25,150.0,DETAILS,1,38
